Pick Number,Player Name,Team Name,Position
1,Baker Mayfield,cle,QB
2,Saquon Barkley,nyg,RB
3,Sam Darnold,nyj,QB
4,Denzel Ward,cle,CB
5,Bradley Chubb,den,DE
6,Quenton Nelson,ind,OG
7,Josh Allen,buf,QB
8,Roquan Smith,chi,OLB
9,Mike McGlinchey,sf,OT
10,Josh Rosen,ari,QB
11,Minkah Fitzpatrick,mia,S
12,Vita Vea,tb,DT
13,Da'Ron Payne,wsh,DT
14,Marcus Davenport,no,DE
15,Kolton Miller,oak,OT
16,Tremaine Edmunds,buf,OLB
17,Derwin James,lac,S
18,Jaire Alexander,gb,CB
19,Leighton Vander Esch,dal,ILB
20,Frank Ragnow,det,C
21,Billy Price,cin,C
22,Rashaan Evans,ten,ILB
23,Isaiah Wynn,ne,OT
24,D.J. Moore,car,WR
25,Hayden Hurst,bal,TE
26,Calvin Ridley,atl,WR
27,Rashaad Penny,sea,RB
28,Terrell Edmunds,pit,S
29,Taven Bryan,jax,DT
30,Mike Hughes,min,CB
31,Sony Michel,ne,RB
32,Lamar Jackson,bal,QB
33,Austin Corbett,cle,OG
34,Will Hernandez,nyg,OG
35,Nick Chubb,cle,RB
36,Darius Leonard,ind,OLB
37,Braden Smith,ind,OG
38,Ronald Jones II,tb,RB
39,James Daniels,chi,C
40,Courtland Sutton,den,WR
41,Harold Landry,ten,OLB
42,Mike Gesicki,mia,TE
43,Kerryon Johnson,det,RB
44,Dante Pettis,sf,WR
45,Josh Jackson,gb,CB
46,Breeland Speaks,kc,DE
47,Christian Kirk,ari,WR
48,Uchenna Nwosu,lac,OLB
49,Dallas Goedert,phi,TE
50,Connor Williams,dal,OG
51,Anthony Miller,chi,WR
52,Kemoko Turay,ind,DE
53,M.J. Stewart,tb,CB
54,Jessie Bates III,cin,S
55,Donte Jackson,car,CB
56,Duke Dawson,ne,CB
57,P.J. Hall,oak,DT
58,Isaiah Oliver,atl,CB
59,Derrius Guice,wsh,RB
60,James Washington,pit,WR
61,D.J. Chark,jax,WR
62,Brian O'Neill,min,OT
63,Carlton Davis,tb,CB
64,Tyquan Lewis,ind,DE
65,Brandon Parker,oak,OT
66,Lorenzo Carter,nyg,OLB
67,Chad Thomas,cle,DE
68,Justin Reid,hou,S
69,B.J. Hill,nyg,DT
70,Fred Warner,sf,ILB
71,Royce Freeman,den,RB
72,Nathan Shepherd,nyj,DT
73,Jerome Baker,mia,OLB
74,Geron Christian,wsh,OT
75,Derrick Nnadi,kc,DT
76,Mason Rudolph,pit,QB
77,Sam Hubbard,cin,DE
78,Malik Jefferson,cin,OLB
79,Rasheem Green,sea,DE
80,Martinas Rankin,hou,C
81,Michael Gallup,dal,WR
82,Tracy Walker,det,S
83,Orlando Brown,bal,OT
84,Justin Jones,lac,DT
85,Rashaan Gaulden,car,CB
86,Mark Andrews,bal,TE
87,Arden Key,oak,DE
88,Oren Burks,gb,OLB
89,Joe Noteboom,lar,OT
90,Deadrin Senat,atl,DT
91,Tre'Quan Smith,no,WR
92,Chukwuma Okorafor,pit,OT
93,Ronnie Harrison,jax,S
94,Alex Cappa,tb,OT
95,Tarvarius Moore,sf,S
96,Harrison Phillips,buf,DT
97,Mason Cole,ari,C
98,Jordan Akins,hou,TE
99,Isaac Yiadom,den,CB
100,Dorian O'Daniel,kc,OLB
