,Pick Number,Player Name,Team Name,Position
0,1,Baker Mayfield,cle,QB
1,2,Saquon Barkley,nyg,RB
2,3,Sam Darnold,nyj,QB
6,7,Josh Allen,buf,QB
9,10,Josh Rosen,ari,QB
23,24,D.J. Moore,car,WR
24,25,Hayden Hurst,bal,TE
25,26,Calvin Ridley,atl,WR
26,27,Rashaad Penny,sea,RB
30,31,Sony Michel,ne,RB
31,32,Lamar Jackson,bal,QB
34,35,Nick Chubb,cle,RB
37,38,Ronald Jones II,tb,RB
39,40,Courtland Sutton,den,WR
41,42,Mike Gesicki,mia,TE
42,43,Kerryon Johnson,det,RB
43,44,Dante Pettis,sf,WR
46,47,Christian Kirk,ari,WR
48,49,Dallas Goedert,phi,TE
50,51,Anthony Miller,chi,WR
58,59,Derrius Guice,wsh,RB
59,60,James Washington,pit,WR
60,61,D.J. Chark,jax,WR
70,71,Royce Freeman,den,RB
75,76,Mason Rudolph,pit,QB
80,81,Michael Gallup,dal,WR
85,86,Mark Andrews,bal,TE
90,91,Tre'Quan Smith,no,WR
97,98,Jordan Akins,hou,TE
100,101,Ian Thomas,car,TE
102,103,Keke Coutee,hou,WR
103,104,Nyheim Hines,ind,RB
104,105,Antonio Callaway,cle,WR
106,107,Chris Herndon,nyj,TE
107,108,Kyle Lauletta,nyg,QB
111,112,Mark Walton,cin,RB
112,113,DaeSean Hamilton,den,WR
119,120,Will Dissly,sea,TE
122,123,Durham Smythe,mia,TE
125,126,Ito Smith,atl,RB
130,131,Kalen Ballage,mia,RB
131,132,Jaleel Scott,bal,WR
132,133,J'Mon Moore,gb,WR
133,134,Chase Edmonds,ari,RB
136,137,Dalton Schultz,dal,TE
143,144,Justin Watson,tb,WR
155,156,Troy Fumagalli,den,TE
156,157,Tyler Conklin,min,TE
158,159,Daurice Fountain,ind,WR
161,162,Jordan Lasley,bal,WR
168,169,Jordan Wilkins,ind,RB
170,171,Mike White,dal,QB
173,174,Marquez Valdes-Scantling,gb,WR
174,175,Damion Ratley,cle,WR
175,176,John Kelly,lar,RB
184,185,Deon Cain,ind,WR
186,187,Ray-Ray McCloud,buf,WR
190,191,Dylan Cantrell,lac,WR
193,194,Russell Gage,atl,WR
198,199,Luke Falk,ten,QB
200,201,Boston Scott,no,RB
202,203,Tanner Lee,jax,QB
203,204,Trenton Cannon,nyj,RB
206,207,Equanimeous St. Brown,gb,WR
207,208,Cedrick Wilson,dal,WR
209,210,Braxton Berrios,ne,WR
210,211,Jordan Thomas,hou,TE
218,219,Danny Etling,ne,QB
219,220,Alex McGough,sea,QB
223,224,Javon Wims,chi,WR
225,226,David Williams,den,RB
227,228,Marcell Ateman,oak,WR
235,236,Bo Scarbrough,dal,RB
239,240,Richie James,sf,WR
248,249,Logan Woodside,cin,QB
249,250,Ryan Izzo,ne,TE
250,251,Justin Jackson,lac,RB
252,253,Auden Tate,cin,WR
254,255,Austin Proehl,buf,WR
255,256,Trey Quinn,wsh,WR
